"","X","province","sector_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"21",21,"Mashonaland East","Agriculture",15,21,15,0.142087542087542,0,0.081547619047619,0.304761904761905,0.25952380952381,0.438888888888889,0.0740740740740741,0.118686868686869,0.0819047619047619,0.513095238095238,0,0.0769230769230769,19.67,21,0.4,0.4,40,21,0.533333333333333,0.5,0.666666666666667,0.333333333333333,0.2,0.866666666666667,0.538461538461538,0.733333333333333,0.4,53.02,21,0.4,0.6,1,0,0.2,0.4,0.4,0.6,1,0,0.230769230769231,0.733333333333333,46.37,0.803327228327228,0.196672771672772,0.4,0.6,0.53019943019943,0.46980056980057,0.463675213675214,0.536324786324786,2.19720187220187,0.549300468050468,54.93
"22",22,"Mashonaland East","Mining",3,22,3,0.0833333333333333,0,0,0.619047619047619,0.1,0.555555555555556,0,0,0,0.583333333333333,0,0.5,36.11,22,0.666666666666667,0.666666666666667,66.67,22,0.333333333333333,1,0.5,0.333333333333333,0,0.666666666666667,1,0.333333333333333,0,46.3,22,0,0,1,0,0,0,0,0,1,0,0,0.666666666666667,22.22,0.638888888888889,0.361111111111111,0.666666666666667,0.333333333333333,0.462962962962963,0.537037037037037,0.222222222222222,0.777777777777778,1.99074074074074,0.497685185185185,49.77
"23",23,"Mashonaland East","Other",77,23,77,0.0844313367967419,0.0450379680544645,0.131667934996072,0.272964352410358,0.123387175962294,0.383026274875622,0.0817277568922306,0.0904695273631841,0.0906888256087981,0.504632794106478,0.0769230769230769,0.213114754098361,26.49,23,0.454545454545455,0.441558441558442,44.81,23,0.506493506493506,0.641025641025641,0.35,0.168831168831169,0.12987012987013,0.792207792207792,0.524590163934426,0.714285714285714,0.171052631578947,44.43,23,0.342105263157895,0.441558441558442,0.974358974358974,0,0.116883116883117,0.346153846153846,0.423076923076923,0.269230769230769,0.983606557377049,0.114754098360656,0.245901639344262,0.649350649350649,40.89,0.735109791624028,0.264890208375972,0.448051948051948,0.551948051948052,0.444261860914147,0.555738139085853,0.408915023237715,0.591084976762285,2.03633862382784,0.50908465595696,50.91
"24",24,"Mashonaland East","Retail",18,24,18,0.131858555387967,0,0.131025326797386,0.301104287868994,0.214640522875817,0.484313725490196,0.0534188034188034,0.114064856711916,0.0777777777777778,0.618055555555556,0,0.3125,31.02,24,0.277777777777778,0.277777777777778,27.78,24,0.333333333333333,0.5,0,0.0555555555555556,0.166666666666667,0.888888888888889,0.3125,0.666666666666667,0.333333333333333,36.19,24,0.666666666666667,0.611111111111111,0.833333333333333,0,0.111111111111111,0,0,0,1,0.0625,0.0625,0.666666666666667,33.45,0.689814814814815,0.310185185185185,0.277777777777778,0.722222222222222,0.361882716049383,0.638117283950617,0.334490740740741,0.665509259259259,1.66396604938272,0.415991512345679,41.6
"25",25,"Mashonaland East","Vending",19,25,19,0.170737300768261,0.0393518518518519,0.0868055555555556,0.399296648483955,0.0440789473684211,0.496491228070175,0.0600490196078431,0.137770897832817,0.0546052631578947,0.728070175438596,0,0.176470588235294,30.15,25,0.105263157894737,0.105263157894737,10.53,25,0.157894736842105,1,0,0,0,0.894736842105263,0.882352941176471,0.736842105263158,0.105263157894737,41.97,25,0.157894736842105,0.368421052631579,1,0,0,0,0,0,1,0,0.117647058823529,0.473684210526316,25.98,0.698486412108703,0.301513587891297,0.105263157894737,0.894736842105263,0.419676642586859,0.580323357413141,0.259803921568627,0.740196078431373,1.48323013415893,0.370807533539732,37.08
"26",26,"Mashonaland West","Agriculture",34,26,34,0.200610902255639,0.122222222222222,0.258333333333333,0.124556834795322,0.120535714285714,0.0394736842105263,0.0803571428571428,0.149166666666667,0.0361111111111111,0.373737373737374,0.6875,0.75,60.37,26,0.529411764705882,0.441176470588235,48.53,26,0.470588235294118,0.875,0,0.411764705882353,0.0588235294117647,0.588235294117647,0.8,0.441176470588235,0.558823529411765,46.72,26,0.441176470588235,0.558823529411765,0.9375,0,0.0882352941176471,0.285714285714286,0.714285714285714,0.392857142857143,1,0.105263157894737,0.9,0.441176470588235,48.88,0.396254208754209,0.603745791245791,0.485294117647059,0.514705882352941,0.467156862745098,0.532843137254902,0.48875267212148,0.51124732787852,1.83745786126785,0.459364465316962,45.94
"27",27,"Mashonaland West","Mining",9,27,9,0.333333333333333,0.142857142857143,0.270833333333333,0.121031746031746,0,0.125,0.416666666666667,0.15625,0,0.380952380952381,0.333333333333333,0.555555555555556,42.33,27,0.555555555555556,0.555555555555556,55.56,27,0.666666666666667,1,0,0.555555555555556,0.111111111111111,1,0.777777777777778,0.666666666666667,0.777777777777778,61.73,27,0.666666666666667,0.888888888888889,1,0,0.222222222222222,0.2,0.9,0.4,1,0.111111111111111,0.625,0.777777777777778,56.6,0.576719576719577,0.423280423280423,0.555555555555556,0.444444444444444,0.617283950617284,0.382716049382716,0.565972222222222,0.434027777777778,2.31553130511464,0.57888282627866,57.89
"28",28,"Mashonaland West","Other",50,28,50,0.179668607254814,0.0877742946708464,0.177507836990596,0.182828780414987,0.0441518634622083,0.02,0.081576354679803,0.299368861024033,0.0566492511320098,0.339455782312925,0.380952380952381,0.777777777777778,49.94,28,0.5,0.48,49,28,0.42,0.95,0.25,0.42,0.1,0.72,0.833333333333333,0.6,0.52,53.48,28,0.46,0.56,1,0.5,0.1,0.311904761904762,0.661904761904762,0.422619047619048,0.944444444444444,0.0833333333333333,0.722222222222222,0.48,52.05,0.500604686318972,0.499395313681028,0.49,0.51,0.534814814814815,0.465185185185185,0.520535714285714,0.479464285714286,2.0459552154195,0.511488803854875,51.15
"29",29,"Mashonaland West","Retail",29,29,29,0.165963787674314,0.148018648018648,0.208895271395271,0.220050626065664,0.129220779220779,0,0.124098124098124,0.202380952380952,0.0388528138528139,0.545720443349754,0.285714285714286,0.761904761904762,53.11,29,0.275862068965517,0.275862068965517,27.59,29,0.241379310344828,1,0,0.275862068965517,0.0344827586206897,0.724137931034483,0.952380952380952,0.275862068965517,0.344827586206897,42.77,29,0.482758620689655,0.448275862068966,0.857142857142857,0,0.103448275862069,0.1875,0.4375,0.3125,1,0.0476190476190476,0.571428571428571,0.310344827586207,39.65,0.468886836343733,0.531113163656267,0.275862068965517,0.724137931034483,0.427659186279876,0.572340813720124,0.396543171866448,0.603456828133552,1.56895126345557,0.392237815863894,39.22
"30",30,"Mashonaland West","Vending",40,30,40,0.258957436589016,0.0453634085213033,0.160130054866897,0.219305269469743,0.110050802682382,0.00625,0.0865800865800866,0.0481872063451011,0.0206685633001422,0.506578947368421,0.2,0.666666666666667,45.77,30,0.125,0.075,10,30,0.125,1,0,0.075,0,0.3,0.916666666666667,0.175,0.25,31.57,30,0.358974358974359,0.45,1,0,0.05,0.333333333333333,0.666666666666667,0.666666666666667,1,0,0.416666666666667,0.175,42.64,0.542251461988304,0.457748538011696,0.1,0.9,0.315740740740741,0.684259259259259,0.426442307692308,0.573557692307692,1.38443451042135,0.346108627605338,34.61
"31",31,"Masvingo","Agriculture",13,31,13,0.148251748251748,0,0.176923076923077,0.144055944055944,0.161538461538462,0.487179487179487,0.0939393939393939,0,0.0553846153846154,0.576923076923077,0,0.666666666666667,41.45,31,0.153846153846154,0.153846153846154,15.38,31,0.230769230769231,0.666666666666667,0,0.230769230769231,0,0.230769230769231,0.333333333333333,0.692307692307692,0.230769230769231,29.06,31,0.230769230769231,0.461538461538462,1,0,0,0.166666666666667,0.166666666666667,0,1,0.333333333333333,0.666666666666667,0.230769230769231,35.47,0.585470085470085,0.414529914529915,0.153846153846154,0.846153846153846,0.290598290598291,0.709401709401709,0.354700854700855,0.645299145299145,1.38461538461539,0.346153846153846,34.62
"32",32,"Masvingo","Other",96,32,96,0.0544799527899749,0.0371517027863777,0.180207533688792,0.21720046283181,0.219342209549331,0.335681395454339,0.0182148468185389,0.0239861092615167,0.0526548399116715,0.464632066276803,0.2,0.317073170731707,32.72,32,0.302083333333333,0.25,27.6,32,0.208333333333333,0.65,0.0384615384615385,0.302083333333333,0.0104166666666667,0.4375,0.642857142857143,0.854166666666667,0.202127659574468,37.18,32,0.273684210526316,0.447916666666667,1,0,0.114583333333333,0.120689655172414,0.362068965517241,0.241379310344828,1,0.0476190476190476,0.268292682926829,0.270833333333333,34.56,0.672764920997163,0.327235079002837,0.276041666666667,0.723958333333333,0.371771815654794,0.628228184345206,0.345588933786667,0.654411066213333,1.66616733710529,0.416541834276323,41.65
"33",33,"Masvingo","Retail",12,33,12,0.0303030303030303,0,0.09375,0.173701298701299,0.40487012987013,0.473484848484848,0,0.0852272727272727,0.025,0.510416666666667,0.25,0.8,52.01,33,0.333333333333333,0.333333333333333,33.33,33,0.333333333333333,0.75,0.2,0.333333333333333,0.0833333333333333,0.416666666666667,0.4,0.916666666666667,0.25,40.93,33,0.0909090909090909,0.333333333333333,1,1,0.333333333333333,0,0.5,0.25,1,0,0.4,0.333333333333333,43.67,0.479861111111111,0.520138888888889,0.333333333333333,0.666666666666667,0.409259259259259,0.590740740740741,0.436742424242424,0.563257575757576,1.65919612794613,0.414799031986532,41.48
"34",34,"Masvingo","Vending",33,34,33,0.15137051888204,0.0333333333333333,0.236045943304008,0.285298740238256,0.14305586886232,0.271985407066052,0.0539772727272727,0.0304924242424242,0.0488758553274682,0.609427609427609,0,0.428571428571429,34.6,34,0.0303030303030303,0,1.52,34,0,0,0,0.0606060606060606,0,0.212121212121212,0.714285714285714,0.727272727272727,0.0606060606060606,19.72,34,0.28125,0.454545454545455,0,0,0.0909090909090909,0,0,0.5,1,0.285714285714286,0.428571428571429,0.151515151515152,26.6,0.654000320666987,0.345999679333013,0.0151515151515152,0.984848484848485,0.197210197210197,0.802789802789803,0.266042117604618,0.733957882395382,1.13240415063332,0.283101037658329,28.31
"35",35,"Matabeleland North","Agriculture",11,35,11,0.121212121212121,0,0.1,0.591774891774892,0.166666666666667,0.166666666666667,0.111111111111111,0.153787878787879,0.0181818181818182,0.727272727272727,0.125,0.2,35.08,35,0.454545454545455,0.454545454545455,45.45,35,0.727272727272727,0.5,0,0.0909090909090909,0,0.454545454545455,0.8,0.0909090909090909,0.0909090909090909,30.61,35,0.363636363636364,0.636363636363636,0.875,0,0.0909090909090909,0,0,0,1,0,0,0.0909090909090909,25.47,0.649242424242424,0.350757575757576,0.454545454545455,0.545454545454545,0.306060606060606,0.693939393939394,0.254734848484848,0.745265151515152,1.66458333333333,0.416145833333333,41.61
"36",36,"Matabeleland North","Mining",1,36,1,0,0,0,0,1,1,0,0,0,0.75,0,0,25,36,1,1,100,36,1,0,0,1,1,0,0,0,1,44.44,36,0,1,1,0,0,0,0,1,0,0,0,0,25,0.75,0.25,1,0,0.444444444444444,0.555555555555556,0.25,0.75,2.44444444444444,0.611111111111111,61.11
"37",37,"Matabeleland North","Other",37,37,37,0.141319955359364,0.0904605263157895,0.0707236842105263,0.354997184979603,0.0785714285714286,0.173976008027732,0.0490430622009569,0.156926406926407,0.0601559454191033,0.452619285952619,0.111111111111111,0.517241379310345,36.03,37,0.702702702702703,0.459459459459459,58.11,37,0.486486486486487,0.5,0,0.27027027027027,0.243243243243243,0.783783783783784,0.862068965517241,0.297297297297297,0.361111111111111,42.27,37,0.108108108108108,0.162162162162162,1,0,0.135135135135135,0.25,0.3,0.1,0.896551724137931,0,0.0689655172413793,0.216216216216216,26.98,0.639676074541975,0.360323925458025,0.581081081081081,0.418918918918919,0.422695684189937,0.577304315810063,0.269761571916744,0.730238428083256,1.91321441172974,0.478303602932434,47.83
"38",38,"Matabeleland North","Retail",44,38,44,0.109309696950996,0,0.0892857142857143,0.444935914031852,0.101282275456082,0.147188346883469,0.192577030812325,0.0600851193190454,0.0300353597171223,0.484261216819356,0.0434782608695652,0.7,40.92,38,0.613636363636364,0.477272727272727,54.55,38,0.522727272727273,0.652173913043478,0,0.181818181818182,0.136363636363636,0.909090909090909,0.725,0.25,0.5,43.08,38,0.159090909090909,0.204545454545455,0.956521739130435,0,0.318181818181818,0.4375,0.25,0.625,0.95,0,0.025,0.0681818181818182,33.28,0.590753507437026,0.409246492562974,0.545454545454545,0.454545454545455,0.430797101449275,0.569202898550725,0.332835144927536,0.667164855072464,1.89984029926838,0.474960074817096,47.5
